API,LeaseName,WellNumber,WellStatus,WellType,OperatorCode,OperatorName,FieldName,AreaName,District,CountyName,BaseMeridian,Section,Township,Range,Latitude,Longitude,GISSource,isConfidential,isDirectionallyDrilled,SpudDate,WellSymbol
0410700180,Lease by W. E. Goble,1,Plugged,DH,08864,W. E. Goble,Any Field,Any Area,Inland,Tulare,MD,28,16S,23E,36.50675583,-119.4764328,hud,N,N,,PluggedDH
0410700181,Lease by Kings River Oil Pool,1,Plugged,DH,04997,Kings River Oil Pool,Any Field,Any Area,Inland,Tulare,MD,29,16S,23E,36.5051651,-119.5018005,hud,N,N,,PluggedDH
0410700182,Lease by Kingsburg Exploration Co.,1,Plugged,DH,04998,Kingsburg Exploration Co.,Any Field,Any Area,Inland,Tulare,MD,29,16S,23E,36.50677872,-119.4998474,hud,N,N,,PluggedDH
0410700196,"Lease by Inland Valley Oil Co., Ltd.",1,Plugged,DH,04224,"Inland Valley Oil Co., Ltd.",Any Field,Any Area,Inland,Tulare,MD,24,17S,24E,36.43228531,-119.3141556,hud,N,N,,PluggedDH
0410700197,McCarrell,1,Plugged,DH,02521,"Ebonoro Oil Company, Inc.",Any Field,Any Area,Inland,Tulare,MD,03,17S,25E,36.47821426,-119.2519531,hud,N,N,,PluggedDH
0410700198,Alves,1,Plugged,DH,02521,"Ebonoro Oil Company, Inc.",Any Field,Any Area,Inland,Tulare,MD,15,17S,25E,36.4517746,-119.2567139,hud,N,N,,PluggedDH
0410700199,Steele Petroleum Visalia,1,Plugged,DH,E0100,E & B Natural Resources Management Corporation,Any Field,Any Area,Inland,Tulare,MD,18,17S,25E,36.44591141,-119.2968674,hud,N,N,,PluggedDH
0410700213,Wilcox-Hinkel,1,Plugged,DH,04373,"J. F. Wilcox, Operator",Any Field,Any Area,Inland,Tulare,MD,33,19S,26E,36.23325348,-119.1591492,hud,N,N,,PluggedDH
0410700214,Orton,1,Plugged,DH,04695,"John F. Wilcox, Operator",Any Field,Any Area,Inland,Tulare,MD,34,19S,26E,36.23319244,-119.1415863,hud,N,N,,PluggedDH
0410700215,Lease by Captain Richard Thew,1,Plugged,DH,01359,Captain Richard Thew,Any Field,Any Area,Inland,Tulare,MD,17,19S,27E,36.27768707,-119.0672989,mip,N,N,,PluggedDH
0410700216,Lease by The Givan Consolidated Oil Corporation,1,Plugged,DH,08348,The Givan Consolidated Oil Corporation,Any Field,Any Area,Inland,Tulare,MD,35,19S,27E,36.22591019,-119.0274506,hud,N,N,,PluggedDH
0410700230,Keely,1,Plugged,DH,06195,"Navy Oil Co., Inc.",Any Field,Any Area,Inland,Tulare,MD,24,20S,26E,36.18109512,-119.1166916,hud,N,N,,PluggedDH
0410700231,Orton,1,Plugged,DH,06195,"Navy Oil Co., Inc.",Any Field,Any Area,Inland,Tulare,MD,24,20S,26E,36.18091583,-119.1140442,hud,N,N,,PluggedDH
0410700232,Keeley Community,44X-24,Plugged,DH,S3100,Shell Western E&P Inc.,Any Field,Any Area,Inland,Tulare,MD,24,20S,26E,36.17451859,-119.1084595,hud,N,N,,PluggedDH
0410700233,Neal,1,Plugged,DH,00179,Ajax Oil and Development Co.,Any Field,Any Area,Inland,Tulare,MD,32,20S,26E,36.13886261,-119.1748352,hud,N,N,,PluggedDH
0410700246,Parks,1,Plugged,DH,T4200,Trico Industries Inc,Any Field,Any Area,Inland,Tulare,MD,35,21S,25E,36.06222916,-119.2331848,hud,N,N,,PluggedDH
0410700247,Valley,2,Plugged,DH,T4200,Trico Industries Inc,Any Field,Any Area,Inland,Tulare,MD,35,21S,25E,36.06502533,-119.2431107,hud,N,N,,PluggedDH
0410700248,Valley,1,Plugged,DH,T4200,Trico Industries Inc,Any Field,Any Area,Inland,Tulare,MD,36,21S,25E,36.06093216,-119.2312164,hud,N,N,,PluggedDH
0410700249,Shaw,1,Plugged,DH,02677,Era Gill & Assoc.,Any Field,Any Area,Inland,Tulare,MD,04,21S,26E,36.12552261,-119.1690979,hud,N,N,,PluggedDH
0410700250,Lease by A. Otis Birch,1,Plugged,DH,00110,A. Otis Birch,Any Field,Any Area,Inland,Tulare,MD,13,21S,26E,36.10586166,-119.1094971,hud,N,N,,PluggedDH
0410700263,Lease by W. D. McKoy,1,Plugged,DH,08856,W. D. McKoy,Any Field,Any Area,Inland,Tulare,MD,35,21S,27E,36.06190872,-119.0348587,hud,N,N,,PluggedDH
0410720033,Hanni,1,Plugged,DH,E0600,Ebert & Brandt,Any Field,Any Area,Inland,Tulare,MD,07,21S,26E,36.11713791,-119.206871,hud,N,N,,PluggedDH
0410720034,BJD,1-7,Plugged,DH,E0600,Ebert & Brandt,Any Field,Any Area,Inland,Tulare,MD,07,21S,26E,36.1193428,-119.1991043,hud,N,N,,PluggedDH
0410720103,Bettencourt,55-35,Canceled,OG,T0300,Tannehill Oil Company,Any Field,Any Area,Inland,Tulare,MD,35,20S,25E,36.14453506,-119.231575,mip,N,N,,CanceledOG
0410720104,Brazil,27X,Plugged,DH,T0300,Tannehill Oil Company,Any Field,Any Area,Inland,Tulare,MD,09,20S,25E,36.19948578,-119.2730942,hud,N,N,,PluggedDH
0410720105,Warren,17,Plugged,DH,T0300,Tannehill Oil Company,Any Field,Any Area,Inland,Tulare,MD,29,19S,25E,36.24265289,-119.2946167,hud,N,N,,PluggedDH
0410720143,Doe,1,Plugged,DH,03270,GEH,Any Field,Any Area,Inland,Tulare,MD,08,18S,24E,36.37248611,-119.3960419,hud,N,N,,PluggedDH
0410720184,Bennetts,1-17,Plugged,DH,J1950,Jordan Oil & Gas Company,Any Field,Any Area,Inland,Tulare,MD,17,19S,25E,36.27791214,-119.2956924,hud,N,N,01/09/1982,PluggedDH
0410720185,County of Tulare,1-6,Plugged,DH,J1950,Jordan Oil & Gas Company,Any Field,Any Area,Inland,Tulare,MD,06,21S,26E,36.13751221,-119.2088089,hud,N,N,,PluggedDH
0410720186,Billingsley,1-17,Plugged,DH,J1950,Jordan Oil & Gas Company,Any Field,Any Area,Inland,Tulare,MD,17,21S,26E,36.10137558,-119.1871643,hud,N,N,,PluggedDH
0403100589,M.R.M.-Phillips,1,Plugged,DH,05187,Lake Oil Co.,Any Field,Any Area,Inland,Kings,MD,35,18S,22E,36.32387543,-119.5490723,hud,N,N,10/15/1950,PluggedDH
0403100602,Rockhold,1,Plugged,DH,03875,Harry S. Sankey,Any Field,Any Area,Inland,Kings,MD,06,19S,23E,36.38737106,-119.5232086,hud,N,N,05/07/1952,PluggedDH
0403120271,Champlin,1-10,Plugged,DH,N2150,Northern Michigan Exploration Company,Any Field,Any Area,Inland,Kings,MD,10,19S,22E,36.29668045,-119.5663528,hud,N,N,02/02/1984,PluggedDH
0403100207,Hanford,1,Plugged,OG,00190,Albercalif Petroleums Ltd.,Hanford (ABD),Any Area,Inland,Kings,MD,36,18S,22E,36.31629181,-119.5412445,hud,N,N,06/28/1950,PluggedOG
0403100209,Drummond,1,Plugged,DH,C7800,Conoco Inc.,Hanford (ABD),Any Area,Inland,Kings,MD,36,18S,22E,36.31515884,-119.5455704,hud,N,N,09/10/1942,PluggedDH
0403100210,Drummond,2,Plugged,DH,C7800,Conoco Inc.,Hanford (ABD),Any Area,Inland,Kings,MD,36,18S,22E,36.32078552,-119.539032,hud,N,N,01/18/1943,PluggedDH
0410720280,Sequoia,1,Plugged,DH,A4050,"Patriot Resources, LLC",Any Field,Any Area,Inland,Tulare,MD,15,18S,24E,36.35848618,-119.3672256,Well Summary,N,N,11/21/2014,PluggedDH
0410700188,Community,26-2,Plugged,DH,A1700,Amerada Hess Corp.,Any Field,Any Area,Inland,Tulare,MD,26,16S,24E,36.50598145,-119.3318329,hud,N,N,,PluggedDH
